id,seed,zh,need,examples
1,Translator,翻译器,翻译不同语言的文本、句子或文件,"Google Translator / Online Translator / Language Translator"
2,Generator,生成器,生成文本、图片、密码等内容,"Password Generator / Name Generator / QR Code Generator"
3,Example,示例,查看示例代码、文本或解法,"Code Example / Resume Example / Math Example"
4,Convert,转换,格式、单位或数据转换,"PDF to Word Convert / Currency Convert / Video Convert"
5,Online,在线,寻找在线工具或服务,"Online Shopping / Online Banking / Online Learning"
6,Downloader,下载器,下载文件、音乐、视频,"YouTube Downloader / MP3 Downloader / Video Downloader"
7,Maker,制作器,制作图像、视频、音乐等,"Logo Maker / Video Maker / Music Maker"
8,Creator,创作者/创作工具,内容创作或生成,"Content Creator / Logo Creator / Game Creator"
9,Editor,编辑器,编辑文本、图片、视频,"Photo Editor / Video Editor / Text Editor"
10,Processor,处理器,数据、文字或图像处理,"Data Processor / Image Processor / Word Processor"
11,Designer,设计师/设计工具,设计服务或设计软件,"Graphic Designer / Web Designer / Logo Designer"
12,Compiler,编译器,编译程序代码,"C++ Compiler / Java Compiler / Compiler Download"
13,Analyzer,分析器,数据、文本或性能分析,"Data Analyzer / Text Analyzer / Performance Analyzer"
14,Evaluator,评估器,产品、网站或性能评估,"Product Evaluator / Website Evaluator / Performance Evaluator"
15,Sender,发送方,消息或数据发送,"Email Sender / Message Sender"
16,Receiver,接收方,消息或数据接收,"Bluetooth Receiver / Message Receiver"
17,Interpreter,解释器,执行或解释脚本语言,"Python Interpreter / JavaScript Interpreter / PHP Interpreter"
18,Uploader,上传器,上传文件或媒体,"File Uploader / Image Uploader / Video Uploader"
19,Calculator,计算器,数学、金融或科学计算,"Online Calculator / Scientific Calculator / Mortgage Calculator"
20,Sample,样本,示例或样本参考,"Resume Sample / Code Sample"
21,Template,模板,可复用模板,"Website Template / Email Template"
22,Format,格式,格式化文本或媒体,"Text Format / Image Format / Video Format"
23,Builder,构建器,构建网站、应用或游戏,"App Builder / Website Builder / Game Builder"
24,Scheme,方案,解决方案或计划,"Business Scheme / Color Scheme"
25,Pattern,模式,设计或逻辑模式,"Design Pattern / Knitting Pattern"
26,Checker,检查器,验证或检查错误,"Grammar Checker / Plagiarism Checker"
27,Detector,检测器,检测问题或对象,"Virus Detector / AI Detector"
28,Scraper,爬虫,网页或数据抓取,"Web Scraper / Data Scraper / Email Scraper"
29,Manager,管理器,任务、项目或资源管理,"Project Manager / Task Manager / Property Manager"
30,Explorer,浏览器/资源浏览,浏览文件或资源,"File Explorer / Web Explorer"
31,Dashboard,仪表盘,数据可视化管理,"Data Dashboard / Project Dashboard"
32,Planner,计划器,制定日程或计划,"Trip Planner / Event Planner / Wedding Planner"
33,Tracker,追踪器,进度、位置或数据追踪,"Package Tracker / Fitness Tracker"
34,Recorder,录制器,录制音频或视频,"Screen Recorder / Audio Recorder / Video Recorder"
35,Optimizer,优化器,性能或SEO优化,"Website Optimizer / SEO Optimizer"
36,Scheduler,调度器,任务或时间安排,"Meeting Scheduler / Work Schedule"
37,Converter,转换器,文件、单位或货币转换,"Currency Converter / PDF Converter"
38,Viewer,查看器,查看文件或媒体,"PDF Viewer / Image Viewer / Video Viewer"
39,Extractor,提取器,提取文本或数据,"Text Extractor / Image Extractor"
